method,variant,calibration_fraction,runs,calibration_scenarios_mean,calibration_scenarios_std,calibration_scenarios_ci95,calibration_bus_samples_mean,calibration_bus_samples_std,calibration_bus_samples_ci95,families_observed_calib_mean,families_observed_calib_std,families_observed_calib_ci95,empty_test_families_mean,empty_test_families_std,empty_test_families_ci95,min_family_scenario_samples_mean,min_family_scenario_samples_std,min_family_scenario_samples_ci95,median_family_scenario_samples_mean,median_family_scenario_samples_std,median_family_scenario_samples_ci95,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,recall_mean,recall_std,recall_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,scenario_recall_mean,scenario_recall_std,scenario_recall_ci95,missed_risky_scenarios_mean,missed_risky_scenarios_std,missed_risky_scenarios_ci95
Boosting point + global conformal,global,0.1,20,12.0,0.0,0.0,606.6,57.546685852719435,25.220947083515195,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.8941013071895425,0.022212981698446665,0.009735268463894352,0.001042243624507981,0.0001463606743930956,6.41453937664322e-05,0.9945711183496198,0.002612521732821868,0.001144988132707907,0.0018080400076937876,0.0007314956473767337,0.00032059210258480005,5.0,2.406132515928939,1.0545340702239818,1.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.25,20,30.0,0.0,0.0,1526.4,78.26432944297099,34.30085472619259,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.9055718954248366,0.01798611865533718,0.007882764057083365,0.0010982656946658912,0.00011561202994683165,5.066920616365996e-05,0.9963626492942455,0.002522501317141826,0.0011055349460185283,0.002106174264281593,0.000612951022063195,0.0002686376298334103,3.35,2.323223713087621,1.018197685283064,1.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.5,20,60.0,0.0,0.0,3076.2,115.315402723414,50.53920355109434,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,0.9057924836601308,0.010657893210185919,0.004671027648122196,0.0010859367691349758,6.309554477342428e-05,2.765284172938862e-05,0.9968512486427796,0.0017927859880171486,0.0007857231023098317,0.0023177534141180997,0.0004018940506622331,0.0001761378337385655,2.9,1.651155894963793,0.7236509772273545,1.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.75,20,90.0,0.0,0.0,4609.8,67.57732413200529,29.617068137353357,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.9072630718954249,0.005980781020890546,0.002621192852565363,0.001089827614013964,3.5044071432872474e-05,1.5358741482723217e-05,0.9970684039087949,0.0012253813108508904,0.0005370470382463966,0.0024523946912867857,0.00021504789166183785,9.42488940180804e-05,2.7,1.1285761872936695,0.49462032222493113,1.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,1.0,1,120.0,0.0,0.0,6120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.9084967320261438,0.0,0.0,0.0010963713147436247,0.0,0.0,0.996742671009772,0.0,0.0,0.002500480861704174,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,20,12.0,0.0,0.0,606.6,57.546685852719435,25.220947083515195,8.4,1.5355437918998291,0.6729817390186985,7.6,1.5355437918998291,0.6729817390186985,1.0,0.0,0.0,1.2,0.37696851746252596,0.16521373716301083,0.9290277777777778,0.053046348830997965,0.023248587421078475,0.0004748174170118774,0.00014834811893072692,6.501642973961244e-05,0.9990228013029316,0.00048557393648203926,0.00021281216069489695,0.0010963646855164453,0.0006665936958854113,0.0002921475682050299,0.9,0.4472135954999579,0.19599999999999998,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.25,20,30.0,0.0,0.0,1526.4,78.26432944297099,34.30085472619259,13.35,1.2258187382102494,0.5372387492393028,2.65,1.2258187382102497,0.5372387492393028,1.0,0.0,0.0,2.05,0.22360679774997894,0.09799999999999998,0.9352777777777778,0.02650877729550434,0.011617983894497542,0.00044360551715601085,7.119082378246164e-05,3.1200754184951415e-05,0.9992399565689469,0.0005104911465598561,0.00022373260950145064,0.0009136372379303712,0.0005141304203732689,0.0002253275915740137,0.7,0.4701623459816272,0.2060577333508359,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.5,20,60.0,0.0,0.0,3076.2,115.315402723414,50.53920355109434,15.8,0.4103913408340616,0.17986193535452039,0.2,0.4103913408340617,0.17986193535452044,1.05,0.22360679774997902,0.098,3.525,0.4127889737409482,0.1809127443068386,0.9402205882352941,0.01198824378901995,0.005254079496445297,0.000438031934029602,2.9985408696618965e-05,1.314168478703566e-05,0.999185667752443,0.00048236879296343043,0.0002114074446129875,0.0008944027697634161,0.0002438984213829111,0.00010689319616414719,0.75,0.4442616583193193,0.19470625648856144,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.75,20,90.0,0.0,0.0,4609.8,67.57732413200529,29.617068137353357,16.0,0.0,0.0,0.0,0.0,0.0,2.35,0.8750939799154206,0.38352684665517633,5.075,0.18317377426626164,0.08027944614709429,0.9405065359477124,0.006924083345977903,0.003034613324522234,0.0004426515625291508,2.5341220488798223e-05,1.1106279562569602e-05,0.999185667752443,0.00048236879296343043,0.0002114074446129875,0.0007789959607616849,0.0001460193603608864,6.399580629640411e-05,0.75,0.4442616583193193,0.19470625648856144,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,1.0,1,120.0,0.0,0.0,6120.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.9366013071895425,0.0,0.0,0.0004334041749203834,0.0,0.0,0.998914223669924,0.0,0.0,0.0005770340450086555,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
