policy,top_k_candidates,test_scenarios,candidate_grid_size,candidate_ac_audits,candidate_ac_audits_avoided,audit_reduction_ratio,full_best_in_subset_rate,same_action_as_full_rate,post_action_violating_scenarios,full_post_action_violating_scenarios,extra_violating_scenarios_vs_full,post_action_violating_buses,full_post_action_violating_buses,extra_violating_buses_vs_full,action_cost_proxy_mw,full_action_cost_proxy_mw,action_cost_delta_vs_full_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,seed
Full AC grid search,9,120,9,1080,0,0.0,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935,7
VoltGuard interval-risk,3,120,9,360,720,0.6666666666666666,0.9,0.9,51,51,0,398,398,0,66.37974857018834,59.14266215081935,7.2370864193689926,189.6973373474762,1.5336156070060403,64.8461329631823,7
LinDistFlow point-risk,3,120,9,360,720,0.6666666666666666,0.9416666666666667,0.9416666666666667,52,51,1,400,398,2,63.8050816740129,59.14266215081935,4.662419523193549,191.23095295448223,0.0,63.8050816740129,7
Cheapest-first,3,120,9,360,720,0.6666666666666666,0.36666666666666664,0.36666666666666664,81,51,30,826,398,428,10.000820903942216,59.14266215081935,-49.141841246877135,191.23095295448223,0.0,10.000820903942216,7
Full AC grid search,9,120,9,1080,0,0.0,1.0,1.0,52,52,0,404,404,0,59.69903230198919,59.69903230198919,0.0,236.47093655355442,0.0,59.69903230198919,17
VoltGuard interval-risk,3,120,9,360,720,0.6666666666666666,0.7666666666666667,0.7666666666666667,52,52,0,404,404,0,75.65036157530675,59.69903230198919,15.951329273317555,231.87984936069589,4.591087192858549,71.0592743824482,17
LinDistFlow point-risk,3,120,9,360,720,0.6666666666666666,0.9166666666666666,0.9166666666666666,52,52,0,404,404,0,67.40441459077991,59.69903230198919,7.705382288790716,236.47093655355442,0.0,67.40441459077991,17
Cheapest-first,3,120,9,360,720,0.6666666666666666,0.4,0.4,79,52,27,757,404,353,14.259850627873446,59.69903230198919,-45.439181674115744,236.47093655355442,0.0,14.259850627873446,17
Full AC grid search,9,120,9,1080,0,0.0,1.0,1.0,46,46,0,342,342,0,58.044574503294285,58.044574503294285,0.0,239.84934000057135,0.0,58.044574503294285,42
VoltGuard interval-risk,3,120,9,360,720,0.6666666666666666,0.8583333333333333,0.8583333333333333,46,46,0,342,342,0,69.62294208550514,58.044574503294285,11.57836758221086,238.24741505738643,1.6019249431848985,68.02101714232025,42
LinDistFlow point-risk,3,120,9,360,720,0.6666666666666666,0.9166666666666666,0.9166666666666666,47,46,1,344,342,2,65.76952991001383,58.044574503294285,7.724955406719545,239.84934000057135,0.0,65.76952991001383,42
Cheapest-first,3,120,9,360,720,0.6666666666666666,0.43333333333333335,0.43333333333333335,77,46,31,654,342,312,15.871503942081528,58.044574503294285,-42.173070561212754,239.84934000057135,0.0,15.871503942081528,42
