method,conformal_variant,forecast_noise_sigma,runs,rmse_mean,rmse_std,coverage_mean,coverage_std,avg_width_mean,avg_width_std,recall_mean,recall_std,false_alarm_rate_mean,false_alarm_rate_std,missed_violations_mean,missed_violations_std,scenario_recall_mean,scenario_recall_std,scenario_false_alarm_rate_mean,scenario_false_alarm_rate_std,missed_risky_scenarios_mean,missed_risky_scenarios_std
Boosting point + global conformal,global,0.0,1,0.0004145545321376299,0.0,0.9084967320261438,0.0,0.0010963713147436255,0.0,0.996742671009772,0.0,0.002500480861704174,0.0,3.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
Boosting point + global conformal,global,0.05,1,0.0011554941892090004,0.0,0.9240196078431373,0.0,0.0036508381008439664,0.0,0.997828447339848,0.0,0.009617234083477592,0.0,2.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0
Boosting point + global conformal,global,0.1,1,0.0020933952230442203,0.0,0.9165032679738562,0.0,0.007090610006938804,0.0,0.991313789359392,0.0,0.030005770340450086,0.0,8.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
Boosting point + global conformal,global,0.2,1,0.004134202989051622,0.0,0.8893790849673202,0.0,0.012264422872809017,0.0,0.9804560260586319,0.0,0.04577803423735334,0.0,18.0,0.0,1.0,0.0,0.6296296296296297,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.0,1,0.00011446658923916473,0.0,0.9498366013071895,0.0,0.000527491030772676,0.0,0.998914223669924,0.0,0.001154068090017311,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.05,1,0.0011155329053890988,0.0,0.917156862745098,0.0,0.003460733668634742,0.0,0.997828447339848,0.0,0.010194268128486247,0.0,2.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.1,1,0.0020806318023842037,0.0,0.9006535947712418,0.0,0.006677926666800462,0.0,0.990228013029316,0.0,0.028851702250432775,0.0,9.0,0.0,1.0,0.0,0.2962962962962963,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.2,1,0.003921838185114024,0.0,0.8983660130718955,0.0,0.01226976901118995,0.0,0.9815418023887079,0.0,0.044623966147336026,0.0,17.0,0.0,0.989247311827957,0.0,0.5185185185185185,0.0,1.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0,1,0.00011446658923916473,0.0,0.9366013071895425,0.0,0.000433404174920454,0.0,0.998914223669924,0.0,0.0005770340450086555,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.05,1,0.0011155329053890988,0.0,0.9035947712418301,0.0,0.0030921810240921417,0.0,0.997828447339848,0.0,0.010194268128486247,0.0,2.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,1,0.0020806318023842037,0.0,0.8933006535947713,0.0,0.006397896590899192,0.0,0.9847991313789359,0.0,0.027697634160415464,0.0,14.0,0.0,1.0,0.0,0.25925925925925924,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.2,1,0.003921838185114024,0.0,0.8740196078431373,0.0,0.010979555570680805,0.0,0.9793702497285559,0.0,0.0415464512406232,0.0,19.0,0.0,0.989247311827957,0.0,0.5185185185185185,0.0,1.0,0.0
