split_name,seed,method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
random_interpolation,7,LinDistFlow physical backbone,none,0.000921602503118454,0.0013986906434149203,0.0066059391731750905,,,1.0,0.9163952225841476,0.9563739376770538,0.0,77
random_interpolation,7,Random forest,none,0.0001373196892080341,0.00023334803831768784,0.0022397751553818734,,,0.9989047097480832,0.990228013029316,0.9945474372955289,0.00019234468166955183,9
random_interpolation,7,Gradient boosting,none,0.0002871706248397758,0.0004145545321376299,0.00587799314880133,,,1.0,0.9728555917480999,0.9862410566868465,0.0,25
random_interpolation,7,Boosting point + global conformal,global,0.0002871706248397758,0.0004145545321376299,0.00587799314880133,0.9084967320261438,0.0010963713147436255,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3
random_interpolation,7,VoltGuard topology-aware residual,global,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9498366013071895,0.000527491030772676,0.9935205183585313,0.998914223669924,0.9962100703844071,0.001154068090017311,1
random_interpolation,7,VoltGuard topology-aware residual,pv_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9450980392156862,0.0004894217993790325,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1
random_interpolation,7,VoltGuard topology-aware residual,topology_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9552287581699347,0.0005267087976024618,0.9913793103448276,0.998914223669924,0.9951325040562466,0.0015387574533564147,1
random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9366013071895425,0.000433404174920454,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1
random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9125816993464052,0.00041735037796906694,0.9978308026030369,0.998914223669924,0.9983722192078134,0.00038468936333910367,1
random_interpolation,7,Neural graph residual ablation,topology_conditioned,0.001300437359272533,0.0017109061663356864,0.009661935917266828,0.9133986928104575,0.0053979856988462,0.8836538461538461,0.997828447339848,0.9372768995410505,0.023273706482015773,2
