method,variant,alpha,nominal_coverage,test_scenarios,risky_scenarios,screened_safe_scenarios,screened_safe_ratio,ac_optimization_calls_avoided,flagged_for_ac_optimization,risky_scenario_recall,post_screening_violation_miss_rate,missed_risky_scenarios,bus_violation_recall,bus_false_alarm_rate,missed_bus_violations,mean_interval_width,available_pv_mw,accepted_pv_proxy_mw,curtailed_pv_proxy_mw,relieved_load_proxy_mw,proxy_action_cost_mw,seed,protocol,target_fraction,target_calibration_scenarios,target_test_scenarios
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9961315280464217,0.0018870891649630445,2,0.0012585304296160215,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,7,source_only,0.0,0,132
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0015725743041358703,1,0.0008073615770040806,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,7,source_only,0.0,0,132
Boosting point + global conformal,global,0.1,0.9,116,64,52,0.4482758620689655,52,64,1.0,0.0,0,0.9956427015250545,0.0021424745581146223,2,0.0013914605373788263,356.7430985658876,356.7430985658876,0.0,26.99030797400613,26.99030797400613,7,source_plus_target_high_pv,0.1,16,116
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,116,64,50,0.43103448275862066,50,66,1.0,0.0,0,1.0,0.004463488662738797,0,0.0024979824508649,356.7430985658876,356.7430985658876,0.0,27.79456822770699,27.79456822770699,7,source_plus_target_high_pv,0.1,16,116
Boosting point + global conformal,global,0.1,0.9,103,60,43,0.4174757281553398,43,60,1.0,0.0,0,0.9975609756097561,0.002414972831555645,1,0.0013322890270502145,316.6749306707526,316.6749306707526,0.0,25.000761282918194,25.000761282918194,7,source_plus_target_high_pv,0.2,29,103
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,103,60,43,0.4174757281553398,43,60,1.0,0.0,0,1.0,0.0032199637754075265,0,0.0015868606521873786,316.6749306707526,316.6749306707526,0.0,25.000761282918194,25.000761282918194,7,source_plus_target_high_pv,0.2,29,103
Boosting point + global conformal,global,0.1,0.9,77,45,32,0.4155844155844156,32,45,1.0,0.0,0,0.9969604863221885,0.0021691973969631237,1,0.0014757180629745214,238.0968763275987,238.0968763275987,0.0,19.175100173646975,19.175100173646975,7,source_plus_target_high_pv,0.4,55,77
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,77,45,31,0.4025974025974026,31,46,1.0,0.0,0,1.0,0.003796095444685466,0,0.0019481916353149156,238.0968763275987,238.0968763275987,0.0,19.61559695793222,19.61559695793222,7,source_plus_target_high_pv,0.4,55,77
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0015725743041358703,1,0.0012399441036894303,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,17,source_only,0.0,0,132
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0008079630364550327,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,17,source_only,0.0,0,132
Boosting point + global conformal,global,0.1,0.9,116,65,51,0.4396551724137931,51,65,1.0,0.0,0,0.9977477477477478,0.0017806267806267807,1,0.00132871314446171,355.1070334002365,355.1070334002365,0.0,27.0265479870978,27.0265479870978,17,source_plus_target_high_pv,0.1,16,116
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,116,65,51,0.4396551724137931,51,65,1.0,0.0,0,1.0,0.003383190883190883,0,0.0016834462134091691,355.1070334002365,355.1070334002365,0.0,27.0265479870978,27.0265479870978,17,source_plus_target_high_pv,0.1,16,116
Boosting point + global conformal,global,0.1,0.9,103,59,44,0.42718446601941745,44,59,1.0,0.0,0,0.9975550122249389,0.0012072434607645875,1,0.0013747496101188213,317.7504056950971,317.7504056950971,0.0,24.86645704730126,24.86645704730126,17,source_plus_target_high_pv,0.2,29,103
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,103,59,44,0.42718446601941745,44,59,1.0,0.0,0,1.0,0.0032193158953722333,0,0.0016336699896558682,317.7504056950971,317.7504056950971,0.0,24.86645704730126,24.86645704730126,17,source_plus_target_high_pv,0.2,29,103
Boosting point + global conformal,global,0.1,0.9,77,42,35,0.45454545454545453,35,42,1.0,0.0,0,1.0,0.002140181915462814,0,0.0014885149368590958,235.55013073587463,235.55013073587463,0.0,17.709125574726222,17.709125574726222,17,source_plus_target_high_pv,0.4,55,77
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,77,42,33,0.42857142857142855,33,44,1.0,0.0,0,1.0,0.0040128410914927765,0,0.0019292518085252657,235.55013073587463,235.55013073587463,0.0,18.51338582842708,18.51338582842708,17,source_plus_target_high_pv,0.4,55,77
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0012628938958916312,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,42,source_only,0.0,0,132
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0008172249451654884,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,42,source_only,0.0,0,132
Boosting point + global conformal,global,0.1,0.9,116,66,50,0.43103448275862066,50,66,1.0,0.0,0,0.9978118161925602,0.0014278065322148848,1,0.001379746502324858,353.7696694920423,353.7696694920423,0.0,27.474187641906337,27.474187641906337,42,source_plus_target_high_pv,0.1,16,116
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,116,66,48,0.41379310344827586,48,68,1.0,0.0,0,1.0,0.004104943780117794,0,0.002081510426682841,353.7696694920423,353.7696694920423,0.0,28.278447895607194,28.278447895607194,42,source_plus_target_high_pv,0.1,16,116
Boosting point + global conformal,global,0.1,0.9,103,58,45,0.4368932038834951,45,58,1.0,0.0,0,0.9974747474747475,0.002006823198876179,1,0.001378076522733812,315.57666117930864,315.57666117930864,0.0,24.175124532809743,24.175124532809743,42,source_plus_target_high_pv,0.2,29,103
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,103,58,45,0.4368932038834951,45,58,1.0,0.0,0,1.0,0.0032109171182018864,0,0.0019169847348195282,315.57666117930864,315.57666117930864,0.0,24.175124532809743,24.175124532809743,42,source_plus_target_high_pv,0.2,29,103
Boosting point + global conformal,global,0.1,0.9,77,43,34,0.44155844155844154,34,43,1.0,0.0,0,1.0,0.001884760366182014,0,0.0014324864884873376,237.21994114890677,237.21994114890677,0.0,18.156356545880307,18.156356545880307,42,source_plus_target_high_pv,0.4,55,77
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,77,43,32,0.4155844155844156,32,45,1.0,0.0,0,1.0,0.004308023694130318,0,0.001933440921430381,237.21994114890677,237.21994114890677,0.0,18.960616799581167,18.960616799581167,42,source_plus_target_high_pv,0.4,55,77
