feeder,scenario_id,candidate_actions,converged_candidates,ac_grid_seconds
33,3,9,9,1.855565249978099
33,11,9,9,1.8647174590150826
33,13,9,9,1.8438852499821223
33,17,9,9,1.8693389589898288
33,18,9,9,1.8384392500156537
33,22,9,9,1.859910500003025
33,27,9,9,1.8636770829907618
33,31,9,9,1.8503995829960331
33,38,9,9,1.9004891670192592
33,47,9,9,1.8121842500113416
33,52,9,9,1.897117165994132
33,59,9,9,1.878038666996872
33,72,9,9,2.007483041990781
33,84,9,9,1.8779286670032889
33,86,9,9,1.8978877920017112
33,94,9,9,1.882464207999874
33,95,9,9,1.888678625022294
33,104,9,9,1.8876665830030106
33,105,9,9,1.8463498750061262
33,112,9,9,1.9092349170241505
33,116,9,9,1.8990532500029076
33,122,9,9,1.906938958010869
33,124,9,9,1.8383636249927804
33,128,9,9,1.8783897910034284
33,131,9,9,1.862314833997516
33,133,9,9,1.8905712080013473
33,134,9,9,1.8162212500174064
33,135,9,9,1.876252125017345
33,136,9,9,1.8578782500117086
33,137,9,9,1.8475478750187904
33,139,9,9,1.8889273749955464
33,141,9,9,1.8149592500121798
33,143,9,9,1.8908757500175852
33,149,9,9,1.8401311250054277
33,153,9,9,1.8785278750001453
33,159,9,9,1.8408211669884622
33,161,9,9,1.880088167003123
33,162,9,9,1.807397625001613
33,170,9,9,1.8665818330191541
33,178,9,9,1.8416828329791315
33,180,9,9,1.8811122500046622
33,199,9,9,1.8747998749895487
33,200,9,9,1.8438876250002068
33,201,9,9,1.867386666010134
33,206,9,9,1.8495972500240896
33,213,9,9,1.877645125001436
33,215,9,9,1.8395455830032006
33,221,9,9,1.8987822500057518
33,233,9,9,1.823910999984946
33,235,9,9,1.883278833993245
33,236,9,9,1.846424957999261
33,238,9,9,1.8801168329955544
33,240,9,9,1.8415325839887373
33,243,9,9,1.8585211670142598
33,244,9,9,1.874426583002787
33,260,9,9,1.9009552499919664
33,264,9,9,1.862330457981443
33,285,9,9,1.8981601659907028
33,289,9,9,1.9102762499824166
33,292,9,9,1.8717321660078596
69,4,9,9,1.6072740419767797
69,5,9,9,1.5624465000000782
69,16,9,9,1.5930910420138389
69,17,9,9,1.5750487910117954
69,20,9,9,1.5547751249978319
69,22,9,9,1.61459641600959
69,27,9,9,1.5542650829884224
69,28,9,9,1.588487000000896
69,34,9,9,1.5886440000031143
69,38,9,9,1.5868266669858713
69,40,9,9,1.5748102919897065
69,42,9,9,1.551532292010961
69,50,9,9,1.5756608750089072
69,73,9,9,1.5956861669837963
69,84,9,9,1.5618229579995386
69,88,9,9,1.5935197090147994
69,99,9,9,1.5571937499917112
69,101,9,9,1.589035209006397
69,102,9,9,1.5737160829885397
69,108,9,9,1.5575693329737987
69,116,9,9,1.6295418750087265
69,118,9,9,1.543808957998408
69,120,9,9,1.7750241670000833
69,122,9,9,1.584931791992858
69,126,9,9,1.5737110409827437
69,127,9,9,1.5915918330138084
69,133,9,9,1.5588570419931784
69,136,9,9,1.6059293750149664
69,144,9,9,1.5759797089849599
69,147,9,9,1.5535223750048317
69,156,9,9,1.5968567499949131
69,158,9,9,1.607530500012217
69,164,9,9,1.5752629160124343
69,168,9,9,1.5725422920077108
69,194,9,9,1.570397208997747
69,197,9,9,1.6225646659731865
69,200,9,9,1.5538438750081696
69,201,9,9,1.5639928329910617
69,205,9,9,1.5743483749974985
69,206,9,9,1.5732596660091076
69,209,9,9,1.5802369999873918
69,210,9,9,1.564452833001269
69,214,9,9,1.5611257920099888
69,218,9,9,1.5800332090002485
69,230,9,9,1.5917122919927351
69,235,9,9,1.5764792089757975
69,244,9,9,1.565259082999546
69,251,9,9,1.5677622920193244
69,254,9,9,1.5777775829774328
69,257,9,9,1.5520295419846661
69,268,9,9,1.6066134579887148
69,269,9,9,1.5648358339967672
69,272,9,9,1.5643017090042122
69,275,9,9,1.6126728340168484
69,281,9,9,1.5606367090076674
69,286,9,9,1.574414250004338
69,291,9,9,1.562679417023901
69,294,9,9,1.5937239170016255
69,297,9,9,1.573181209008908
69,299,9,9,1.5516405409725849
